name,country
Jordan Pickford,England
Dean Henderson,England
James Trafford,England
Reece James,England
Ezri Konsa,England
Jarell Quansah,England
John Stones,England
Marc Guehi,England
Dan Burn,England
Nico O'Reilly,England
Djed Spence,England
Valentino Livramento,England
Declan Rice,England
Elliot Anderson,England
Kobbie Mainoo,England
Morgan Rogers,England
Jude Bellingham,England
Eberechi Eze,England
Harry Kane,England
Ivan Toney,England
Ollie Watkins,England
Bukayo Saka,England
Marcus Rashford,England
Anthony Gordon,England
Brice Samba,France
Mike Maignan,France
Robin Risser,France
Malo Gusto,France
Lucas Digne,France
Dayot Upamecano,France
Jules Kounde,France
Ibrahima Konate,France
William Saliba,France
Theo Hernandez,France
Lucas Hernandez,France
Maxence Lacroix,France
Manu Kone,France
Aurelien Tchouameni,France
Adrien Rabiot,France
Warren Zaire-Emery,France
Ousmane Dembele,France
Marcus Thuram,France
Kylian Mbappe,France
Michael Olise,France
Bradley Barcola,France
Desire Doue,France
Jean-Philippe Mateta,France
Rayan Cherki,France
Maghnes Akliouche,France
Oliver Baumann,Germany
Manuel Neuer,Germany
Alexander Nubel,Germany
Waldemar Anton,Germany
Nathaniel Brown,Germany
David Raum,Germany
Antonio Rudiger,Germany
Nico Schlotterbeck,Germany
Jonathan Tah,Germany
Malick Thiaw,Germany
Pascal Gross,Germany
Joshua Kimmich,Germany
Felix Nmecha,Germany
Aleksandar Pavlovic,Germany
Angelo Stiller,Germany
Leon Goretzka,Germany
Florian Wirtz,Germany
Jamie Leweling,Germany
Nadiem Amiri,Germany
Maximilian Beier,Germany
Kai Havertz,Germany
Lennart Karl,Germany
Jamal Musiala,Germany
Leroy Sane,Germany
Deniz Undav,Germany
Nick Woltemade,Germany
Unai Simon,Spain
David Raya,Spain
Joan Garcia,Spain
Pedri,Spain
Fabian Ruiz,Spain
Martin Zubimendi,Spain
Gavi,Spain
Rodri,Spain
Alex Baena,Spain
Mikel Merino,Spain
Lamine Yamal,Spain
Nico Williams,Spain
Dani Olmo,Spain
Ferran Torres,Spain
Mikel Oyarzabal,Spain
Yeremi Pino,Spain
Borja Iglesias,Spain
Victor Munoz,Spain
Emiliano Martinez,Argentina
Geronimo Rulli,Argentina
Juan Musso,Argentina
Nicolas Tagliafico,Argentina
Nahuel Molina,Argentina
Cristian Romero,Argentina
Gonzalo Montiel,Argentina
Lisandro Martinez,Argentina
Leonardo Balerdi,Argentina
Facundo Medina,Argentina
Rodrigo De Paul,Argentina
Leandro Paredes,Argentina
Giovani Lo Celso,Argentina
Alexis Mac Allister,Argentina
Enzo Fernandez,Argentina
Exequiel Palacios,Argentina
Valentin Barco,Argentina
Julian Alvarez,Argentina
Lautaro Martinez,Argentina
Nicolas Gonzalez,Argentina
Thiago Almada,Argentina
Giuliano Simeone,Argentina
Nicolas Paz,Argentina
Mark Flekken,Netherlands
Bart Verbruggen,Netherlands
Nathan Ake,Netherlands
Virgil van Dijk,Netherlands
Denzel Dumfries,Netherlands
Jan Paul van Hecke,Netherlands
Micky van de Ven,Netherlands
Jurrien Timber,Netherlands
Frenkie de Jong,Netherlands
Cody Gakpo,Netherlands
Jose Sa,Portugal
Rui Silva,Portugal
Ruben Dias,Portugal
Nuno Mendes,Portugal
Diogo Dalot,Portugal
Nelson Semedo,Portugal
Renato Veiga,Portugal
Vitinha,Portugal
Joao Neves,Portugal
Bruno Fernandes,Portugal
Matheus Nunes,Portugal
Bernardo Silva,Portugal
Pedro Neto,Portugal
Rafael Leao,Portugal
Goncalo Ramos,Portugal
Alisson,Brazil
Ederson,Brazil
Weverton,Brazil
Gabriel Magalhaes,Brazil
Marquinhos,Brazil
Bremer,Brazil
Wesley,Brazil
Alex Sandro,Brazil
Danilo,Brazil
Leo Pereira,Brazil
Douglas Santos,Brazil
Bruno Guimaraes,Brazil
Casemiro,Brazil
Lucas Paqueta,Brazil
Fabinho,Brazil
Raphinha,Brazil
Vinicius Junior,Brazil
Matheus Cunha,Brazil
Gabriel Martinelli,Brazil
Igor Thiago,Brazil
Endrick,Brazil
Rayan,Brazil
Neymar,Brazil
Luiz Henrique,Brazil
Chris Brady,USA
Matt Freese,USA
Matt Turner,USA
Sergino Dest,USA
Alex Freeman,USA
Mark McKenzie,USA
Chris Richards,USA
Antonee Robinson,USA
Joe Scally,USA
Auston Trusty,USA
Tim Ream,USA
Miles Robinson,USA
Max Arfsten,USA
Tyler Adams,USA
Weston McKennie,USA
Malik Tillman,USA
Brenden Aaronson,USA
Cristian Roldan,USA
Sebastian Berhalter,USA
Christian Pulisic,USA
Folarin Balogun,USA
Gio Reyna,USA
Tim Weah,USA
Ricardo Pepi,USA
Haji Wright,USA
Alejandro Zendejas,USA
Thibaut Courtois,Belgium
Senne Lammens,Belgium
Mike Penders,Belgium
Timothy Castagne,Belgium
Zeno Debast,Belgium
Maxim de Cuyper,Belgium
Koni De Winter,Belgium
Brandon Mechele,Belgium
Thomas Meunier,Belgium
Nathan Ngoy,Belgium
Joaquin Seys,Belgium
Arthur Theate,Belgium
Kevin De Bruyne,Belgium
Amadou Onana,Belgium
Nicolas Raskin,Belgium
Youri Tielemans,Belgium
Hans Vanaken,Belgium
Axel Witsel,Belgium
Charles De Ketelaere,Belgium
Jeremy Doku,Belgium
Matias Fernandez-Pardo,Belgium
Romelu Lukaku,Belgium
Dodi Lukebakio,Belgium
Diego Moreira,Belgium
Alexis Saelemaekers,Belgium
Leandro Trossard,Belgium
Dominik Livakovic,Croatia
Dominik Kotarski,Croatia
Ivor Pandur,Croatia
Josko Gvardiol,Croatia
Duje Caleta-Car,Croatia
Josip Stanisic,Croatia
Marin Pongracic,Croatia
Martin Erlic,Croatia
Luka Vuskovic,Croatia
Luka Modric,Croatia
Marcelo Brozovic,Croatia
Mateo Kovacic,Croatia
Mario Pasalic,Croatia
Lovro Majer,Croatia
Ivan Perisic,Croatia
Andrej Kramaric,Croatia
Marko Livaja,Croatia
Bruno Petkovic,Croatia
Gregor Kobel,Switzerland
Yann Sommer,Switzerland
Philipp Koln,Switzerland
Manuel Akanji,Switzerland
Ricardo Rodriguez,Switzerland
Silvan Widmer,Switzerland
Nico Elvedi,Switzerland
Loris Benito,Switzerland
Fabian Schar,Switzerland
Granit Xhaka,Switzerland
Remo Freuler,Switzerland
Fabian Frei,Switzerland
Denis Zakaria,Switzerland
Michel Aebischer,Switzerland
Vincent Sierro,Switzerland
Ruben Vargas,Switzerland
Breel Embolo,Switzerland
Dan Ndoye,Switzerland
Noah Okafor,Switzerland
Zeki Amdouni,Switzerland
Zion Suzuki,Japan
Kosei Tani,Japan
Daniel Schmidt,Japan
Takehiro Tomiyasu,Japan
Wataru Endo,Japan
Yuta Nakayama,Japan
Ko Itakura,Japan
Miki Yamane,Japan
Shogo Taniguchi,Japan
Takefusa Kubo,Japan
Ritsu Doan,Japan
Daichi Kamada,Japan
Junya Ito,Japan
Shunsuke Saito,Japan
Kaoru Mitoma,Japan
Ayase Ueda,Japan
Daizen Maeda,Japan
Ao Tanaka,Japan
